jobid1,id_seller,id_car,car_value,car_sold,car_transition_date
251,S040,C0250,16179,16502,2012-08-23
252,S078,C0251,12728,13051,2012-07-19
253,S067,C0252,12936,13259,2012-02-26
254,S028,C0253,12902,13225,2012-02-22
255,S097,C0254,12015,12338,2012-02-19
256,S017,C0255,15335,16080,2012-04-23
257,S045,C0256,10450,11195,2012-10-09
258,S047,C0257,17037,17782,2012-07-19
259,S075,C0258,18069,18814,2012-06-12
260,S090,C0259,14262,15007,2012-12-12
261,S082,C0260,15566,16311,2012-07-01
262,S022,C0261,19890,20635,2012-10-20
263,S069,C0262,11782,12527,2012-06-20
264,S037,C0263,18166,18911,2013-01-30
265,S019,C0264,18378,19123,2012-10-11
266,S091,C0265,11705,12450,2012-04-16
267,S001,C0266,19354,20099,2012-06-13
268,S029,C0267,18903,19648,2012-03-11
269,S028,C0268,15118,15863,2012-11-04
270,S033,C0269,13587,14332,2013-01-10
271,S058,C0270,15991,16736,2012-04-17
272,S077,C0271,19445,20190,2013-01-19
273,S040,C0272,19544,20289,2012-05-02
274,S081,C0273,19995,20740,2012-08-04
275,S058,C0274,14476,15221,2012-02-15
276,S045,C0275,15081,15826,2012-02-15
277,S004,C0276,10040,10785,2012-05-31
278,S007,C0277,13033,13778,2012-07-05
279,S071,C0278,18488,19233,2012-07-22
280,S037,C0279,19802,20547,2012-02-12
281,S098,C0280,14836,15581,2012-08-03
282,S056,C0281,18149,18894,2012-03-21
283,S096,C0282,15477,16222,2012-08-12
284,S066,C0283,15908,16653,2012-03-18
285,S055,C0284,13830,14575,2012-05-15
286,S085,C0285,19534,20279,2012-10-13
287,S079,C0286,10143,10888,2012-09-20
288,S098,C0287,18606,19351,2012-10-24
289,S067,C0288,18965,19710,2012-10-01
290,S095,C0289,18450,19195,2012-11-04
291,S051,C0290,14902,15647,2012-04-20
292,S039,C0291,16605,17350,2012-06-11
293,S007,C0292,16016,16761,2012-12-27
294,S026,C0293,10919,11664,2012-11-26
295,S098,C0294,16045,16790,2012-06-22
296,S053,C0295,15023,15768,2012-06-28
297,S094,C0296,18325,19070,2012-06-18
298,S058,C0297,11809,12554,2012-03-24
299,S042,C0298,14265,15010,2012-03-25
300,S025,C0299,18780,19525,2013-06-21
301,S060,C0300,16557,17302,2013-08-16
302,S045,C0301,16335,17080,2013-05-26
303,S083,C0302,14593,15338,2013-03-17
304,S017,C0303,17614,18359,2013-03-14
305,S042,C0304,14718,15463,2013-12-30
306,S020,C0305,13179,13924,2013-02-11
307,S056,C0306,10649,11394,2013-08-14
308,S069,C0307,12469,13214,2013-11-27
309,S091,C0308,15018,15763,2013-12-30
310,S028,C0309,14686,15431,2013-03-25
311,S001,C0310,16056,16801,2013-03-24
312,S044,C0311,11005,11750,2013-10-17
313,S069,C0312,16675,17420,2013-07-28
314,S090,C0313,18869,19614,2013-03-01
315,S081,C0314,14438,15183,2013-08-28
316,S046,C0315,15461,16206,2013-12-23
317,S057,C0316,13008,13753,2013-10-17
318,S096,C0317,11733,12478,2013-11-07
319,S038,C0318,12679,13424,2013-11-08
320,S075,C0319,14515,15260,2013-12-31
321,S077,C0320,13898,14643,2014-01-13
322,S055,C0321,17043,17788,2013-03-15
323,S036,C0322,15399,16144,2013-11-06
324,S087,C0323,10799,11544,2013-12-11
325,S004,C0324,12057,12802,2014-01-24
326,S056,C0325,16492,17237,2013-07-02
327,S027,C0326,10836,11581,2013-09-11
328,S018,C0327,12620,13365,2013-09-03
329,S058,C0328,16751,17496,2013-04-20
330,S059,C0329,19451,20196,2013-12-05
331,S090,C0330,15965,16710,2013-10-04
332,S012,C0331,13915,14660,2013-08-27
333,S074,C0332,12370,13115,2014-01-28
334,S008,C0333,11835,12580,2013-09-13
335,S021,C0334,14386,15131,2013-11-26
336,S077,C0335,10520,11265,2013-08-30
337,S079,C0336,19209,20339,2013-10-20
338,S091,C0337,18358,19488,2013-07-13
339,S055,C0338,13762,14892,2013-11-09
340,S003,C0339,13925,15055,2013-02-20
341,S066,C0340,14460,15590,2013-02-28
342,S084,C0341,16055,17185,2013-10-30
343,S000,C0342,14242,15372,2013-11-29
344,S082,C0343,18195,19325,2013-08-20
345,S094,C0344,18961,20091,2013-06-17
346,S073,C0345,12711,13841,2013-08-16
347,S020,C0346,14177,15307,2013-03-22
348,S067,C0347,13901,15031,2013-03-08
349,S029,C0348,19912,21042,2013-06-14
350,S015,C0349,16848,17978,2013-09-27
351,S072,C0350,16617,17747,2013-08-15
352,S043,C0351,13846,14976,2013-09-28
353,S006,C0352,17622,18752,2014-01-19
354,S045,C0353,19160,20709,2013-11-14
355,S001,C0354,12471,14020,2013-12-07
356,S024,C0355,17054,18603,2013-07-06
357,S052,C0356,15432,16981,2013-07-16
358,S069,C0357,13932,15481,2013-12-22
359,S078,C0358,16734,18283,2013-04-19
360,S003,C0359,15485,17034,2013-10-08
361,S039,C0360,12733,14282,2013-08-16
362,S003,C0361,17757,19306,2014-01-22
363,S050,C0362,12498,14047,2013-05-27
364,S086,C0363,11593,13142,2013-04-04
365,S091,C0364,12018,13567,2013-03-06
366,S091,C0365,17114,18663,2013-06-12
367,S018,C0366,17469,19018,2013-08-16
368,S035,C0367,11365,12914,2014-01-24
369,S091,C0368,10175,11724,2013-02-12
370,S008,C0369,17076,18625,2013-07-23
371,S026,C0370,10796,11029,2013-10-25
372,S050,C0371,16015,16248,2013-03-08
373,S043,C0372,13832,14065,2013-08-12
374,S072,C0373,16222,16455,2013-06-05
375,S020,C0374,10455,10688,2013-08-10
376,S044,C0375,12574,12807,2013-11-06
377,S018,C0376,13795,14028,2013-04-25
378,S012,C0377,10276,10509,2013-09-16
379,S091,C0378,17403,17636,2013-04-30
380,S062,C0379,17651,17884,2013-04-25
381,S066,C0380,14845,15078,2013-12-20
382,S056,C0381,19887,20120,2014-01-25
383,S039,C0382,14317,14550,2013-05-29
384,S022,C0383,19590,19823,2013-05-23
385,S001,C0384,14246,14479,2013-03-20
386,S051,C0385,14313,14546,2013-11-06
387,S081,C0386,17699,17794,2014-01-31
388,S000,C0387,11906,12001,2013-07-03
389,S029,C0388,16786,16881,2013-03-07
390,S053,C0389,13282,13377,2014-01-28
391,S094,C0390,16444,16539,2014-01-11
392,S008,C0391,11279,11374,2013-07-05
393,S092,C0392,14046,14141,2013-11-24
394,S013,C0393,15690,15785,2013-06-29
395,S048,C0394,14059,14154,2013-07-03
396,S083,C0395,16248,16343,2013-11-17
397,S028,C0396,18498,18593,2013-05-20
398,S062,C0397,13564,13659,2013-04-28
399,S082,C0398,15482,15577,2013-10-22
400,S059,C0399,15799,15894,2014-09-28
401,S009,C0400,18347,18442,2014-04-25
402,S055,C0401,16996,17091,2014-05-11
403,S054,C0402,12856,12951,2014-08-12
404,S098,C0403,15662,15757,2014-06-19
405,S013,C0404,12207,12302,2014-11-23
406,S066,C0405,18938,19033,2014-09-24
407,S099,C0406,14836,14931,2014-10-05
408,S079,C0407,17252,17516,2014-02-12
409,S088,C0408,13206,13470,2014-03-27
410,S051,C0409,19693,19957,2014-06-12
411,S011,C0410,11658,11922,2014-08-03
412,S032,C0411,17428,17692,2014-12-23
413,S009,C0412,14682,14946,2014-08-07
414,S020,C0413,13571,13835,2015-01-17
415,S042,C0414,14214,14478,2014-08-22
416,S010,C0415,16110,16374,2015-01-03
417,S098,C0416,14728,14992,2014-09-01
418,S093,C0417,11231,11495,2014-05-03
419,S045,C0418,10784,11048,2014-05-26
420,S092,C0419,17987,18251,2014-03-30
421,S038,C0420,13413,13677,2014-08-27
422,S042,C0421,11621,11885,2014-02-05
423,S001,C0422,19101,19365,2014-06-22
424,S076,C0423,13198,13462,2015-01-14
425,S017,C0424,14464,14728,2014-02-26
426,S007,C0425,15994,16258,2014-11-17
427,S086,C0426,12014,12278,2014-09-14
428,S089,C0427,16613,16877,2014-08-03
429,S075,C0428,11575,11839,2014-02-15
430,S063,C0429,18261,18525,2014-09-10
431,S038,C0430,15560,15824,2014-05-20
432,S024,C0431,13083,13347,2014-09-23
433,S088,C0432,18308,18572,2015-01-05
434,S067,C0433,17191,17455,2014-08-11
435,S002,C0434,15861,16125,2014-05-23
436,S014,C0435,12004,12268,2014-05-01
437,S023,C0436,10177,10744,2014-07-26
438,S046,C0437,15002,15569,2014-08-31
439,S040,C0438,18196,18763,2014-02-19
440,S030,C0439,13813,14380,2014-03-26
441,S066,C0440,10588,11155,2014-07-18
442,S013,C0441,19188,19755,2014-05-24
443,S036,C0442,12971,13538,2014-03-07
444,S087,C0443,13714,14281,2014-05-16
445,S090,C0444,12293,12860,2014-10-15
446,S013,C0445,14158,14725,2014-10-01
447,S040,C0446,16267,16834,2014-06-11
448,S095,C0447,12762,13329,2014-05-04
449,S038,C0448,18417,18984,2014-08-20
450,S060,C0449,10447,11014,2014-05-01
451,S008,C0450,15680,16247,2014-05-02
452,S010,C0451,16319,16886,2015-01-14
453,S062,C0452,17735,18302,2014-05-28
454,S061,C0453,17840,18407,2014-05-07
455,S096,C0454,12443,13991,2014-08-20
456,S026,C0455,10927,12475,2015-01-25
457,S018,C0456,11309,12857,2014-07-22
458,S039,C0457,10247,11795,2014-05-01
459,S024,C0458,13382,14930,2014-06-18
460,S081,C0459,12215,13763,2015-01-20
461,S099,C0460,15799,17347,2014-02-11
462,S035,C0461,19773,21321,2014-12-02
463,S076,C0462,18788,20336,2015-01-20
464,S042,C0463,15444,15877,2014-07-30
465,S047,C0464,19717,20150,2014-06-21
466,S044,C0465,12087,12520,2014-09-16
467,S037,C0466,16711,17144,2014-02-23
468,S023,C0467,15807,16240,2014-03-08
469,S004,C0468,16862,17295,2014-09-19
470,S005,C0469,12549,12982,2014-12-24
471,S084,C0470,16424,16857,2015-01-13
472,S083,C0471,16998,17431,2014-04-18
473,S019,C0472,16819,17252,2014-08-22
474,S074,C0473,16997,17430,2014-09-02
475,S025,C0474,16116,16549,2014-07-18
476,S017,C0475,19011,19444,2014-08-30
477,S057,C0476,13243,13676,2014-03-14
478,S095,C0477,17188,17621,2014-03-22
479,S036,C0478,11847,12280,2014-08-06
480,S049,C0479,10837,11270,2014-02-12
481,S006,C0480,19547,19980,2014-12-03
482,S094,C0481,17768,18201,2014-07-06
483,S048,C0482,10195,10628,2014-05-25
484,S046,C0483,10735,11168,2014-11-27
485,S059,C0484,12920,13353,2014-09-10
486,S097,C0485,10820,11253,2014-07-26
487,S015,C0486,13957,14390,2014-03-11
488,S052,C0487,15138,15571,2014-10-28
489,S079,C0488,17795,18228,2014-02-18
490,S057,C0489,11697,12130,2014-12-12
491,S025,C0490,13158,13591,2014-08-19
492,S068,C0491,10367,10800,2014-02-12
493,S023,C0492,19257,19690,2014-04-15
494,S021,C0493,15906,16339,2014-12-28
495,S073,C0494,10260,10693,2014-11-11
496,S027,C0495,12999,13432,2014-06-24
497,S015,C0496,12299,12732,2014-06-10
498,S004,C0497,12950,13383,2014-11-11
499,S022,C0498,19120,19553,2014-02-15
500,S015,C0499,18295,18728,2015-04-24
501,S069,C0500,16093,16526,2015-07-22
502,S029,C0501,14707,15140,2015-02-20
503,S098,C0502,18129,18562,2015-08-31
504,S007,C0503,18982,19415,2015-09-19
505,S003,C0504,11643,12076,2015-04-01
506,S029,C0505,12225,12658,2015-02-14
507,S030,C0506,13091,13524,2015-04-27
508,S056,C0507,18292,18725,2015-06-26
509,S008,C0508,13280,13713,2015-06-21
510,S026,C0509,17804,18237,2015-09-14
511,S051,C0510,17267,17700,2015-10-02
512,S059,C0511,16783,17216,2015-11-19
513,S090,C0512,16752,17185,2015-12-06
514,S091,C0513,12512,12945,2015-03-19
515,S068,C0514,10137,10570,2015-11-25
516,S040,C0515,19577,20010,2015-06-25
517,S077,C0516,19809,20242,2015-06-21
518,S087,C0517,12213,12646,2015-08-25
519,S065,C0518,15014,15447,2015-06-28
520,S055,C0519,12204,12637,2015-04-27
521,S099,C0520,18277,18710,2015-12-16
522,S051,C0521,11595,12028,2015-06-27
523,S043,C0522,15467,15900,2015-06-06
524,S035,C0523,19790,20223,2015-05-16
525,S097,C0524,10209,10642,2015-12-25
526,S006,C0525,15196,15629,2016-01-07
527,S009,C0526,17568,18001,2015-12-12
528,S075,C0527,17461,17894,2015-08-31
529,S063,C0528,13906,14339,2015-12-10
530,S010,C0529,10539,10972,2016-02-01
531,S012,C0530,15058,15491,2015-04-26
532,S060,C0531,13910,14343,2015-06-10
533,S046,C0532,13678,14111,2015-07-23
534,S083,C0533,17106,17539,2015-12-03
535,S093,C0534,16213,16646,2015-10-13
536,S020,C0535,18811,19244,2015-06-01
537,S015,C0536,16291,16724,2015-08-28
538,S024,C0537,14747,15180,2016-01-27
539,S052,C0538,10287,10720,2015-03-17
540,S091,C0539,11073,11506,2015-02-09
541,S022,C0540,11856,12289,2015-07-06
542,S070,C0541,18409,18842,2015-08-29
543,S031,C0542,12660,13093,2015-04-27
544,S027,C0543,10897,11330,2015-08-10
545,S094,C0544,19033,19466,2015-10-11
546,S011,C0545,18771,19204,2015-09-30
547,S059,C0546,19595,20028,2015-05-25
548,S070,C0547,10868,11301,2015-04-19
549,S013,C0548,17184,17617,2015-03-28
550,S040,C0549,14863,15296,2015-08-10
551,S044,C0550,13193,13626,2015-05-06
552,S031,C0551,12831,13264,2015-02-05
553,S019,C0552,10180,10613,2015-03-30
554,S007,C0553,15586,16019,2015-12-03
555,S013,C0554,10495,10928,2015-12-14
556,S095,C0555,14883,15316,2015-03-07
557,S000,C0556,10582,11015,2015-05-16
558,S079,C0557,16981,17414,2015-05-03
559,S083,C0558,12126,12559,2016-01-17
560,S011,C0559,14363,14796,2015-11-06
561,S095,C0560,16438,16871,2015-06-30
562,S079,C0561,13784,14217,2015-04-03
563,S056,C0562,11408,11841,2015-10-08
564,S089,C0563,12543,12976,2015-10-05
565,S080,C0564,15752,16185,2015-03-05
566,S041,C0565,10982,11415,2015-07-21
567,S098,C0566,11359,11792,2015-06-06
568,S054,C0567,13355,13788,2015-03-18
569,S096,C0568,11821,12254,2015-04-08
570,S090,C0569,13730,14163,2015-04-07
571,S092,C0570,18359,18792,2015-03-01
572,S078,C0571,11457,11890,2015-09-29
573,S059,C0572,13657,14090,2015-03-19
574,S004,C0573,17414,17847,2015-07-01
575,S053,C0574,11949,12382,2015-07-16
576,S075,C0575,18458,18891,2015-06-09
577,S078,C0576,16930,17363,2015-07-14
578,S096,C0577,13606,14039,2015-09-19
579,S070,C0578,17411,17844,2015-03-25
580,S088,C0579,15604,16037,2015-02-16
581,S065,C0580,19453,19886,2015-09-21
582,S090,C0581,10342,10775,2015-11-16
583,S071,C0582,16585,17018,2016-01-08
584,S028,C0583,12532,12965,2015-11-20
585,S017,C0584,10200,10633,2015-08-23
586,S039,C0585,12061,12494,2015-03-09
587,S035,C0586,10363,10796,2015-12-18
588,S023,C0587,13394,13827,2015-05-21
589,S059,C0588,15546,15979,2015-10-06
590,S018,C0589,14604,15037,2015-10-23
591,S040,C0590,18546,18979,2015-10-15
592,S007,C0591,11310,11743,2015-04-25
593,S047,C0592,18281,18714,2015-10-09
594,S042,C0593,17950,18383,2015-02-11
595,S061,C0594,14593,15026,2015-04-17
596,S088,C0595,19968,20401,2015-12-15
597,S015,C0596,10934,11367,2015-10-18
598,S044,C0597,12369,12802,2015-12-13
599,S015,C0598,15273,15706,2016-02-03
600,S037,C0599,11587,12020,2016-12-15
601,S022,C0600,13686,14119,2016-02-20
602,S056,C0601,11987,12420,2016-11-23
603,S042,C0602,14855,15288,2016-03-15
604,S067,C0603,14114,14547,2016-09-12
605,S010,C0604,12503,12936,2016-02-29
606,S098,C0605,16973,17406,2017-01-19
607,S045,C0606,14243,14676,2016-07-31
608,S048,C0607,12707,13140,2016-11-07
609,S034,C0608,14768,15201,2016-05-25
610,S093,C0609,18806,19239,2016-05-12
611,S028,C0610,12132,12565,2016-10-18
612,S038,C0611,11414,11847,2016-03-08
613,S047,C0612,11656,12089,2016-12-16
614,S019,C0613,11192,11625,2016-04-17
615,S047,C0614,13841,14274,2016-12-10
616,S010,C0615,14306,14739,2016-05-09
617,S065,C0616,10911,11344,2016-05-08
618,S070,C0617,13954,14387,2016-07-14
619,S069,C0618,17120,17553,2016-10-14
620,S033,C0619,17631,18064,2016-11-26
621,S079,C0620,16374,16807,2016-06-03
622,S074,C0621,14391,14824,2016-04-29
623,S001,C0622,14672,15105,2016-02-13
624,S097,C0623,15179,15612,2016-05-21
625,S031,C0624,18975,19408,2016-05-19
626,S000,C0625,10847,11280,2016-04-11
627,S037,C0626,15352,15785,2016-12-06
628,S028,C0627,14413,14846,2016-11-24
629,S056,C0628,14897,15330,2016-09-27
630,S081,C0629,17200,17633,2016-09-24
631,S084,C0630,19195,19628,2016-04-18
632,S065,C0631,19976,20409,2016-03-07
633,S090,C0632,12498,12931,2016-07-23
